,texto,emocion
660,"Estamos con usted en Tonalá y con el Regidor Alejandro Buenrostro, Tonalá para los Tonaltecas.",neutral
661,Todo el apoyo al Dr Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro Tonalá para los que viven en Tonalá,neutral
662,Con fianza onestida liderazgo con el doctor Lomeli gobernador,neutral
663,Estamos con usted y con Regidor Alejandro Buenrostro en Tonalá,neutral
664,Vamos por el triunfo doc,neutral
665,"Confiamos ciegamente en usted mi Doc, nos consta su humanismo, Tlajomulco juega con usted!",approval
666,Gracias doctor cada que voy Asus eventos me da más confianza y hoy me sentí que ya ganamos un fuerte abrazo,gratitude
667,Yo confio,approval
668,👍👍👍,curiosity
669,Somos muchos pero no nos confiemos y trabajemos duro para que sea una realidad la 4T en Jalisco con el Dr Carlos Lomeli si señor!!!!!,disapproval
670,Yo con Carlos Lomeli Tonalá Jalisco estamos con Carlos Lomeli esperanza para Jalisco,neutral
671,Viva el dr Lomeli nuestro próximo gobernador muera la naranja podrida,neutral
672,"saludos Doc, un abrazote y un Saludote vamos por la Gobernatura de Jalisco...las y los Jalicienses te necesitan y en este 2024; no sera la execepcion...to
dos y todas a las Urnas a realizar el cambio...con la Ola Ginda...MORENA",neutral
673,De que Gana La Gubernatura La Gana Doctor Lomeli Vamos Todos,neutral
674,"Fan destacado
Patti AmezLop",neutral
675,"Dr. Carlos Lomelí Bolaños cuenta con todo nuestro apoyo, usted ¡si puede! transformar Jalisco",gratitude
676,👍,curiosity
677,"Si se puede, Claro q si con el Dr Dr. Carlos Lomelí Bolaños🏆",neutral
678,Vamos por el triunfo Dr Carlos Lomelí,neutral
679,Saludos jefe y con todo,neutral
680,Estamos con usted y con Regidor Alejandro Buenrostro en Tonalá,neutral
681,"Estamos con usted en Tonalá y con el Regidor Alejandro Buenrostro, Tonalá para los Tonaltecas.",neutral
682,"El doctor Carlos Lomeli, un hombre honesto de gran corazón, el mejor",admiration
683,Felicidades Dr. estamos con usted 🫶🏻🫶🏻🫶🏻,approval
684,Saludos 🤝,excitement
685,La grandeza te distingue doctor sigue asi,admiration
686,"Con unidad, movilidad, organización, trabajo y lealtad lograremos que la 4 T llegue a todo el estado con los mejores perfiles que sean habitantes de los municipios a los que se postulan, todo el apoyo al Dr. Carlos Lomelí",admiration
687,Estamos con el Dr Carlos Lomelí desde Poncitlán,neutral
688,Todo el apoyo desde Tonalá Dr Carlos Lomelí somos equipo del Regidor Alejandro Buenrostro,approval
689,Juntos por Jalisco con el doctor Lomeli gobernador,neutral
690,"Vamos por la 4t para Jalisco, usted es el indicado !!",neutral
691,Todo el apoyo al Dr Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro Tonalá para los que viven en Tonalá,neutral
692,"El Doc, es quien puede traer a Jalisco el triunfo para lograr la verdadera transformación de la 4T,vamos Doc. Si se puede.",neutral
693,"Felicidades a los dos Dr. Carlos Lomelí Bolaños Y al Dr. Oscar Nicolas García Lomeli
Saludos y un fuerte abrazo. Rumbo a la Victoria 2024",excitement
694,"Todo nuestro apoyo leal y constante con usted doctor lomeli.
Somos equipo del Regidor Alejandro Buenrostro.
Equipo Tonalá
Tonalá tmbn es morena",neutral
695,Mi gallo🐓💪🏽,neutral
696,"Dr Lomeli estoy con usted y la 4T, pero todavía mucha Gente no lo conoce , aproveche más las redes Sociales, y necesitamos propuestas de desarrollo en todo el estado de Jalisco , y Guadalajara , en sus barrios más pobres ,",neutral
697,Gracias dr Lomeli estamos con ustedesl,gratitude
698,Edis eran los principios 🥁 de el temblor 🍊,neutral
699,"Lo q el pueblo de jalisco Queremos escuchar. Es q cuando seas gobernador

QUITES LA VERIFICACIÓN RECAUDAORIA",neutral
700,Teniendo principios vales mucho,neutral
701,"Por esto y mucho más, Dr. Lomeli para GOBERNADOR de JALISCO",neutral
702,Viva morena y lomeli para gobernador,neutral
703,"Seamos concientes de que cuando se pierden valores , perdemos todos..",realization
704,Cómo me encantaría q el dr Oscar llegará de director general a cruz verde Guadalajara sería magnifico,love
705,"Fan destacado
Angelina Sanchez",neutral
706,"Mi apoyo a usted Dr. Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro, no queremos gente de Guadalajara que quiera elegirse en Tonalá, que sea simuladora y soberbia y que no vive en Tonalá, Tonalá para los Tonaltecas.",caring
707,Apoyo total para morena y su gente,approval
708,"Mi apoyo a usted Dr. Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro, no queremos gente de Guadalajara que quiera elegirse en Tonalá, que sea simuladora y soberbia y que no vive en Tonalá, Tonalá para los Tonaltecas.",caring
709,Cuando viene para villa purificacion?,curiosity
710,"Con unidad, movilidad, organización, trabajo y lealtad lograremos que la 4 T llegue a todo el estado con los mejores perfiles que sean habitantes de los municipios a los que se postulan, todo el apoyo al Dr. Carlos Lomelí",admiration
711,Mi apoyo para el Dr Carlos Lomelí,caring
712,Todo el apoyo desde Tonalá Dr Carlos Lomelí somos equipo del Regidor Alejandro Buenrostro,approval
713,"Estamos con usted en Tonalá y con el Regidor Alejandro Buenrostro, Tonalá para los Tonaltecas.",neutral
714,Onestida liderazgo con el doctor Lomeli gobernador juntos por Jalisco lograremos un cambio,optimism
715,Todo el apoyo al Dr Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro Tonalá para los que viven en Tonalá,neutral
716,Dr.Lomeli Jalisco necesita un gober con autoridad moral y usted es el indicado. Venga la 4T.,desire
717,Si llegase a gobernar Jalisco cree usted poder aplicar los tres principios de López Obrador ??? Por qué si aún tiene que ver con MC pues va estar canijo yo conozco su trayectoria de mucho tiempo atrás y no ha Sido muy buena pero pues ahora sí que el tiempo lo decida es mi humilde opinión señor lomelí,confusion
718,Todo el Apoyo al Dr.Carlos Lomelí,caring
719,Así mismo mi estimado doctor y próximamente Gober!,neutral
720,Con Todo El Pawer y Con Todo El Corazón de León a Gobernador para que Rescate A Jalisco,neutral
721,Estamos con usted y con Regidor Alejandro Buenrostro en Tonalá,neutral
722,"Fan destacado
Jose Gregorio Iturralde Torres",neutral
723,Vamos adelante doctor para poner morena en alto en todo Jalisco viva la 4t ánimo jalisiences.,neutral
724,"con todo mi apoyo para usted Dr Lomelí vamos por un Jalisco digno y leal, con la 4a transformación hasta la gobernatura 🫂🫂🫂",approval
725,Aunque aquí en Cuquío no tenemos comité trabajaremos para que sea el prox gobernador,neutral
726,"Así sencillito sin tanto alarde ni protagonismo doctor Carlos Lomeli,,,todo palante sin parar con hechos A cada paso de da . Más territorios menos escritorio!🇲🇽🤗😉😊😁💕💚💞por mi por el pueblo por Jalisco!",neutral
727,"Saludos doc, un fuerte abrazo vamos a ganar",joy
728,Apoyo total Dr Lomelí 5 años de aventarle basura y usted sigue erguido y de pie ud señor es el indicado para defender a Jalisco será nuestro gobernador Morena va apoyo Total,neutral
729,Muy cierto doctor lomeli cumplir los compromisos es lo más importante en la vida,approval
730,Apoyo la 4T y al Dr Lomel,neutral
731,"Lo q el pueblo de jalisco Queremos escuchar. Es q cuando seas gobernador

QUITES LA VERIFICACIÓN RECAUDAORIA",neutral
732,Y claro que va a ganar usted y jalisco,approval
733,Y que le dará a Jalisco el rumbo que necesita.,neutral
734,"Con unidad, movilidad, organización, trabajo y lealtad lograremos que la 4 T llegue a todo el estado con los mejores perfiles que sean habitantes de los municipios a los que se postulan, todo el apoyo al Dr. Carlos Lomelí",admiration
735,"Mi apoyo a usted Dr. Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro, no queremos gente de Guadalajara que quiera elegirse en Tonalá, que sea simuladora y soberbia y que no vive en Tonalá, Tonalá para los Tonaltecas.",caring
736,Todo el apoyo desde Tonalá Dr Carlos Lomelí somos equipo del Regidor Alejandro Buenrostro,approval
737,"Es un gran hombre y un excelente ser humano, en verdad quien lo conoce sabe su calidad de persona, bendiciones dr!!!",admiration
738,"Estamos con usted en Tonalá y con el Regidor Alejandro Buenrostro, Tonalá para los Tonaltecas.",neutral
739,Seguimos su mando con el doctor Lomeli gobernador de Jalisco,neutral
740,"Usted es una persona que inspira, que cautiva con su vibra de sencillez, que motiva a seguirlo, nuestro líder moral.",admiration
741,Si es una gran persona,neutral
742,Todo el apoyo al Dr Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro Tonalá para los que viven en Tonalá,neutral
743,Todo nuestro apollo Dr Lomelí,neutral
744,Estamos con usted y con Regidor Alejandro Buenrostro en Tonalá,neutral
745,"El doctor Carlos Lomeli, un líder honesto y auténtico",admiration
746,"Lo que yo conozco personalmente al dr Carlos Lomeli, a mí me dió la impresión de ser una persona tan educada, correcta, sencilla y muy atento. Quizá el ni me.recuerde pero tuve el gusto de saludarle pues el se acercó a dónde yo está en salita de espera y mi impresión fue tan buena, tan agradable y por el destino deje de visitar su entorno y pues cuando me di cuenta que el estaba en el partido la vd, nunca me pierdo sus comentarios sus propuestas, la gentileza como trata a las personas y cada vez me convenzo que no es de dientes para afuera , es un ser humano en toda la extensión d ella palabra y se que el nos representara en el gobierno dentro de muy poco tiempo
Mis respetos para usted y todo mi apoyo , se que todo suma y yo de corazón espero poder volver a saludarle y expresarle mis mejores deseos
Falta muy poco Dr. Confío al 100 💯💯💯",realization
747,Estamos con usted Dr. Carlos Lomelí Bolaños distrito 19 por su buen trabajo que desempeña por su gente de pueblo y para el pueblo,caring
748,Claro que sí es honesto y muy sincero siempre al pendiente de los demás simplemente es lo que Jalisco necesita.,approval
749,Estamos con el Dr.Lomeli.,neutral
750,Vamos con todo estimado Doctor por bien del pueblo de Jalisco 🇱🇻,approval
751,"Lo q el pueblo de jalisco Queremos escuchar. Es q cuando seas gobernador

QUITES LA VERIFICACIÓN RECAUDAORIA",neutral
752,Vamos con mucha Fuerza Doctor Si se puede,neutral
753,De cruz de loreto m.p.i. tomatlan arriva doctor lomeli muchos saludos,neutral
754,Lambiscones,neutral
755,Doctor asta cuando va a terminar la cacería que está ejerciendo este gobierno encontra de nosotros los automóviles viejitos a causa de su verificación,neutral
756,"Rgidor Alejandro Buen Rostro ✅💪👌👍💪✅
Dr. Lomelí ✅👌👍👌💪✅",admiration
757,Guapisimo,admiration
758,Q aplicación es,curiosity
759,Guapísimo Dr. Carlos Lomelí Bolaños fuerte abrazo,neutral
760,Estamos contigo Dr Lomeli Bolaños 🌹,caring
761,"Pues sigue muy guapo,dios lo bendiga tube el gusto de conocerlo en villa de guadalupe",admiration
762,Un cordial saludo,neutral
763,Dios le vendiga,neutral
764,Muy guapo doctor!!,admiration
765,"Eso es todo médico, saludos",joy
766,Cual es la aplicación,neutral
767,"Saludos, doc",neutral
768,Asi te conocí Kuki,neutral
769,👏👏👏👏,amusement
770,"Con unidad, movilidad, organización, trabajo y lealtad lograremos que la 4 T llegue a todo el estado con los mejores perfiles que sean habitantes de los municipios a los que se postulan, todo el apoyo al Dr. Carlos Lomelí",admiration
771,"Mi apoyo a usted Dr. Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro, no queremos gente de Guadalajara que quiera elegirse en Tonalá, que sea simuladora y soberbia y que no vive en Tonalá, Tonalá para los Tonaltecas.",caring
772,Todo el apoyo desde Tonalá Dr Carlos Lomelí somos equipo del Regidor Alejandro Buenrostro,approval
773,Todo el apoyo al Dr Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro Tonalá para los que viven en Tonalá,neutral
774,"Cierto mi Doc yo si me acuerdo,, que época tan bonita !!! Te mando un fraternal abrazo",joy
775,"Se ve muy bien Doctor y lo seguimos desde Tonalá, apoyamos al Regidor Alejandro Buenrostro",admiration
776,Fue una época muy bella saludos,joy
777,Esa es la actitud Dr.,neutral
778,Excelente!! Se ve muy guapo saludos,admiration
779,Dnd se consigue esa aplicación,approval
780,"Mi apoyo a usted Dr. Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro, no queremos gente de Guadalajara que quiera elegirse en Tonalá, que sea simuladora y soberbia y que no vive en Tonalá, Tonalá para los Tonaltecas.",caring
781,En pesando semana cada día somos más con el doctor Lomeli gobernador,neutral
782,Claro que sí XK yo voy con mi gran amigo Doc Carlos Lomelí,approval
783,Estoy con usted Carlos Lomelí y quiero que visite la colonia Mariano Otero tengo 40 años viviendo aquí y arreglan todo pero está calle nunca la An arreglado ni escritura nos an entregado y yo pago impuesto predial pero no tengo escrituras está muy abandonada está calle gracias Dr Carlos Lomelí,gratitude
784,Saludos desde ocotlan al 💯 con el Dr.Carlos Lomeli,approval
785,"Con unidad, movilidad, organización, trabajo y lealtad lograremos que la 4 T llegue a todo el estado con los mejores perfiles que sean habitantes de los municipios a los que se postulan, todo el apoyo al Dr. Carlos Lomelí",admiration
786,Todo el apoyo desde Tonalá Dr Carlos Lomelí somos equipo del Regidor Alejandro Buenrostro,approval
787,"Estamos con usted en Tonalá y con el Regidor Alejandro Buenrostro, Tonalá para los Tonaltecas.",neutral
788,Todo el apoyo al Dr Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro Tonalá para los que viven en Tonalá,neutral
789,Vamos con todo,approval
790,Saludos Dr un abrazo fuerte 💪,love
791,Estamos con usted y con Regidor Alejandro Buenrostro en Tonalá,neutral
792,Unión de Tula con el Doc. Carlos Lomeli,neutral
793,😮😮😮😮😮😮😮,sadness
794,Saludos Doctor Lomeli,admiration
795,"Todo Jalscience, que quiera el bien para el Estado y cada uno de los municipios y sus comunidades debe elegír a la persona correcta, por eso somos cada día más los que apoyamos a el dr. Carlos Lomelí",approval
796,Dr. Carlos Lomelí SÍ PUEDE 👌,sadness
797,No extraña que Pablo Lemus Navarro de negué a pagar los laudos. Saludos,neutral
798,Morena y Lomely 👍,love
799,"Saludos Dr, Lomeli Jalisco cuenta contigo para continuar la 4a TRANSFORMACION",neutral
800,puestos en Tonalá,neutral
801,Mentira no mas nos dan un sanduich y un jugo de aurrera si querémos almorzar sacamos de nuestro dinero MC son unos rateros,neutral
802,Recuerden juntos haremos historia viva MORENA Y el Dr Lomeli Bolaños 🌹🌹🌹,neutral
803,MARIANA FERNÁNDEZ ME ENCANTA.,love
804,"Dr Carlos lomeli Bolaños, si puede",neutral
805,Dr. Carlos Lomelí. ! Si puede!,neutral
806,Saludos doctor lomeli,admiration
807,Saludos,admiration
808,Feliz domingo 🎇,excitement
809,"Con unidad, movilidad, organización, trabajo y lealtad lograremos que la 4 T llegue a todo el estado con los mejores perfiles que sean habitantes de los municipios a los que se postulan, todo el apoyo al Dr. Carlos Lomelí",admiration
810,La mejor opción es el dr.Carlos lomeli,neutral
811,"Mi apoyo a usted Dr. Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro, no queremos gente de Guadalajara que quiera elegirse en Tonalá, que sea simuladora y soberbia y que no vive en Tonalá, Tonalá para los Tonaltecas.",caring
812,Todo el apoyo desde Tonalá Dr Carlos Lomelí somos equipo del Regidor Alejandro Buenrostro,approval
813,"Estamos con usted en Tonalá y con el Regidor Alejandro Buenrostro, Tonalá para los Tonaltecas.",neutral
814,Todos con el dr Carlos lomelí y el profe julio por ocotlan,neutral
815,Así es doc jalisco nesesita muchooo y usted puede con la ayuda de dios,neutral
816,"Dr. Lomelí ese amor es el que le tiene la gente por el compromiso y las sinceras intenciones de ayudar a la gente.
Saludos, usted puede.
Equipo del Regidor Alejandro Buenrostro
Equipo Tonalá
Tonalá tmbn es morena.",love
817,Josefina Leaños Chávez,neutral
818,"Saludos doc, pronto gobernaremos Jalisco.",excitement
819,Gracias Igualmente Por Jalisco Dr Lomeli Nuestro Próximo Gobernador,gratitude
820,Doc con todo al cambio democratico y social,approval
821,Angelica Bautista,neutral
822,Excelente noche de Domingo Doctor Lomeli. 👍💯🙌,admiration
823,"Adelante Dr. Carlos Lomelí Bolaños , saludos y cuente con el apoyo del equipo del regidor Alejandro Buenrostro",neutral
824,"Aquí en Jalisco, todo el apoyo para usted doctor Carlos Lomeli!!!!!!! Vamos por un cambio verdadero",approval
825,Asi es Antonio con todo vamos con el dr Lomelí familia amigos y equipo,neutral
826,"Mi apoyo a usted Dr. Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro, no queremos gente de Guadalajara que quiera elegirse en Tonalá, que sea simuladora y soberbia y que no vive en Tonalá, Tonalá para los Tonaltecas.",caring
827,Tonala presente Dr. Carlos Lomelí Bolaños nuestro apoya en la 4T..,optimism
828,"Adelante Doc, un gusto saludarlo en Zapopan",joy
829,Todo nuestro apoyo al Dr. Carlos Lomelí Bolaños distrito 19,caring
830,"Con unidad, movilidad, organización, trabajo y lealtad lograremos que la 4 T llegue a todo el estado con los mejores perfiles que sean habitantes de los municipios a los que se postulan, todo el apoyo al Dr. Carlos Lomelí",admiration
831,Todo el apoyo desde Tonalá Dr Carlos Lomelí somos equipo del Regidor Alejandro Buenrostro,approval
832,"Estamos con usted en Tonalá y con el Regidor Alejandro Buenrostro, Tonalá para los Tonaltecas.",neutral
833,Todo el apoyo al Dr Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro Tonalá para los que viven en Tonalá,neutral
834,Dr. Lomelí .. cuando viene a San Juanito de Escobedo. Ocupamos de su presencia para fortalecer nuestro grupo de morenitas.,approval
835,Estamos con usted y con Regidor Alejandro Buenrostro en Tonalá,neutral
836,"¡ Es un honor estar con el Doctor !
Necesitamos coordinador de la 4T en Jalisco",joy
837,Miguel Anguel Padilla Gutierrez,neutral
838,Ya vamos por el cambio en Guadalajara vamos por un cambio justo y derecho porque el cambio está para sacar a movimiento naranja Ya estuvo suave con tanto desorden que trae movimiento naranja vamos apoyando a morena a salir adelante no se olviden de mi pueblo Tlajomulco ya que ha sufrido como mucha discriminación y un gobierno Un gobierno no justo Por cierto me corrieron a mí de mi trabajo por apoyar a morena porque el sujeto quería que yo apoyara movimiento naranja y me quitó mi trabajo zona Valle Villas de la Hacienda taxis cristal,caring
839,Todo nuestro apoyo dr Carlos Lomeli el aquipo de regidor Alejandro Buenrostro estamos al 💯,caring
840,"Juntos y vamos con todo, ellos son los que harán la gran transformación en Jalisco y la república , bienvenida Dra a esta su casa, saludos Dr. Imposible saludarles pero mis respetos para los dos .",admiration
841,Vamos morena no defrauden al pueblo,neutral
842,"Tlaquepaque y Jalisco son 4T, Felicidades Dr. Carlos Lomelí Bolaños",gratitude
843,Dr. Carlos Lomelí SI PUEDE,neutral
844,Yo con Claudia y Doctor Carlos lomelí,neutral
845,"El grupo de la Regidora Lourdes Zavala de Cihuatlán, firmes apoyando a la Dra. Claudia y al Dr. Carlos Lomelí, si señor.",neutral
846,"felicitaciones Dr. lomeli es grato tener personas como usted en estos momentos de cambio ,👌",approval
847,"El Salto con el Doc,",neutral
848,"Mi apoyo a usted Dr. Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro, no queremos gente de Guadalajara que quiera elegirse en Tonalá, que sea simuladora y soberbia y que no vive en Tonalá, Tonalá para los Tonaltecas.",caring
849,Vamos con el Dr. Carlos Lomelí Bolaños distrito 19,neutral
850,"Grupo SRV, Distrito 16 apoya a Claudia Sheinbaum y al Dr Carlos Lomeli",neutral
851,"Es un honor seguir sus pasos Dr. Carlos Lomelí Bolaños , y sabemos que su proyecto junto con el de la dra. Claudia será alcanzable con el trabajo de millones de mexicanos que quieren que siga la transformación de nuestro país.",approval
852,Hacia la victoria,neutral
853,Excelente Dr Carlos Lomelí,admiration
854,Todo el apoyo desde Tonalá Dr Carlos Lomelí somos equipo del Regidor Alejandro Buenrostro,approval
855,"Estamos con usted en Tonalá y con el Regidor Alejandro Buenrostro, Tonalá para los Tonaltecas.",neutral
856,Apoyo total al Dr. Carlos Lomelí Bolaños un saludo desde Tonalá y del equipo del regidor Alejandro Buenrostro,neutral
857,Gran equipo haremos todos juntos x jalisco!! 😁😁😁,admiration
858,Todo el apoyo al Dr Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro Tonalá para los que viven en Tonalá,neutral
859,Estamos con usted y con Regidor Alejandro Buenrostro en Tonalá,neutral
860,Todos unidos jamás seremos vencidos Claudia serás la próxima presidenta y dr lomeli será el primer gobernador de Jalisco sigamos la 4 transformación mii bendiciones a todos y a nuestro muy querido presidente Andrés Manuel López Obrador,optimism
861,Aquí estamos los del equipo de Alejandro Buenrostro es un onor estar con el doctor,neutral
862,"Viva la cuarta transformación.
. VIVA MORENA La Esperanza de MÉXICO 😘",approval
863,Se vienen cosas buenas para México Jalisco y el salto,optimism
864,"Dr Carlos lomeli
Dios lo bendiga junto con toda su familia y en tlajomulco tiene una amiga que siempre ruega a Dios lo cuide que cumpla todos sus logros",caring
865,"En Tlajomulco tiene un gran amigo y admirador, le mando un fuerte abrazo...!!!",admiration
866,Es un honor conocerlo y con partir los mismos ideales juntos por Jalisco con el doctor Lomeli gobernador,joy
867,"Éxito y bendiciones,Dr.
Carlos Lomeli Bolaños.",neutral
868,"Asi lo siente uno y cáda persona que lo trata Dr, por su sencilles y carisma, es por eso, que quien lo conocemos, deseamos que usted, nuestro gran amigo, sea el que nos dirija y lleve acavo la Gobernatura el proximo 2024, saludos y un afectuoso abrazo, desde San Juan de los lagos",neutral
869,Saludos y bendiciones doctor Lomelí,admiration
870,En Ciudad Guzmán Jalisco. 👍🙋🫂,approval
871,Tonalá con usted doctor lomelí,neutral
872,Adelante Dr Lomelí,neutral
873,A componer Jalisco. Carlos Lomeli. SI PUEDE Y MAS.,neutral
874,"venga a ayutla Jalisco, pepespizza, saludos",neutral
875,"Con unidad, movilidad, organización, trabajo y lealtad lograremos que la 4 T llegue a todo el estado con los mejores perfiles que sean habitantes de los municipios a los que se postulan, todo el apoyo al Dr. Carlos Lomelí",admiration
876,Rolanda Valentín tenga fe en el padre y en usted mismo y todo saldrá bien la obra que Dios le envié en sus manos ahora y siempre asta el Reino de ❤️ que el espíritu Santo guie sus pasos y sus caminos y lo proteja la sangre de Cristo asta el Reino selestial de♥️ amén 🙏♥️🔥 el padre celestial esta con usted y todo el pueblo y nosotros amén bendiciones abundante mente bendiciones abundante mente bendiciones abundante mente saludos,caring
877,"Mi apoyo a usted Dr. Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro, no queremos gente de Guadalajara que quiera elegirse en Tonalá, que sea simuladora y soberbia y que no vive en Tonalá, Tonalá para los Tonaltecas.",caring
878,Todo el apoyo desde Tonalá Dr Carlos Lomelí somos equipo del Regidor Alejandro Buenrostro,approval
879,"Estamos con usted en Tonalá y con el Regidor Alejandro Buenrostro, Tonalá para los Tonaltecas.",neutral
880,"Todo el apoyo al Dr Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro somos de Tonalá, Tonalá para los que viven en Tonalá",neutral
881,Distrito 19 con el Dr. Carlos Lomelí Bolaños y juntos por jalisco,neutral
882,Es tan solo la cosecha de lo k usted doctor lomeli a sembrado guíen siembra amistad cosecha amigos feliz fin de semana con su hermosa familia,joy
883,Saludos Dr.. que bueno que le encuentra el lado positivo a las cosas.. buen día.,joy
884,Estamos con usted y con Regidor Alejandro Buenrostro en Tonalá,neutral
885,Dr muy buenos días quedó a sus órdenes para apoyarlo en su proyecto mi compadre Pedro Hernández se Hiba a reunir contigo en estos días saludos,neutral
886,Y nosotros la dicha de conocerlo Dr. Adelante que deseamos de corazón que siga recorriendo nuestro hermoso estado.,joy
887,Animo mi gran amigo Carlos Lomelí también estamos con la misma actitud positiva siempre XK los sentimientos positivos son recíprocos saludos para toda la familia saludos desde Ahualulco Jalisco Rafael kdns 👑💯💪,joy
888,Cuente con mi voto doctor Lomelí hasta la gobernatura juntos haremos historia 👏👏,approval
889,No se olvide de visitar Quitupan jalisco ese municipio está olvidado por todos los gobiernos,realization
890,"Reconocemos su incansable trabajo, la perseverancia y la vasta experiencia estimado Dr. Carlos Lomelí Bolaños en beneficio de Morena en Jalisco.
Su dedicación y compromiso han fortalecido nuestra causa y nos han acercado más a un futuro mejor para todos.!👏🏾😎🇱🇻",admiration
891,Que gusto recibirlo en su casa “Tonalá. Estamos al 💯 con usted para que Coordine los Comités de Defensa de la 4T en Jalisco,joy
892,"Mi apoyo a usted Dr. Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro, no queremos gente de Guadalajara que quiera elegirse en Tonalá, que sea simuladora y soberbia y que no vive en Tonalá, Tonalá para los Tonaltecas.",caring
893,Estamos con ustedes la familia de chuy saludos Alejandro Buenrostro y Carlos Lomeli por un mejor Jalisco,neutral
894,Juntos por Jalisco con el doctor Lomeli y el profe julio en Ocotlán Jalisco,neutral
895,Estamos con usted apoyándolo es un honor estar con el doctor,approval
896,"Vamos por buen camino
El doctor Si Puede.",neutral
897,Saludos hasta Tonalá Jalisco.,neutral
898,Un placer haber estado con el próximo gobernador de Jalisco Dr Carlos Lomeli.,joy
899,"Con unidad, movilidad, organización, trabajo y lealtad lograremos que la 4 T llegue a todo el estado con los mejores perfiles que sean habitantes de los municipios a los que se postulan, todo el apoyo al Dr. Carlos Lomelí",admiration
900,Gracias por su Dr. Carlos Lomelí,gratitude
901,Saludos desde El salto vamos con Carlos Lomeli 🩺,approval
902,Todo el apoyo desde Tonalá Dr Carlos Lomelí somos equipo del Regidor Alejandro Buenrostro,approval
903,"Que bueno que vino a visitar su casa que es Tonalá usted va ser nuestro coordinador estatal de los comités de la 4 T la muralla de Duran un lugar donde usted ya a venido por invitación de nosotros, saludos Dr Carlos Lomelí y adelante",joy
904,"Fue desagradable ver a una persona soberbia, simuladora y falsa como la Martha fombona que vive en Guadalajara y no nos representa",disgust
905,"Todo el apoyo al Dr Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro somos de Tonalá, Tonalá para los que viven en Tonalá",neutral
906,"Estamos con usted en Tonalá y con el Regidor Alejandro Buenrostro, Tonalá para los Tonaltecas.",neutral
907,"La gente lo quiere, Dr. Lomeli por la persona tan sencilla y con mucho cariño al pueblo.
Saludos, somos del equipo del Reg. Alejandro Buenrostro
Equipo Tonalá.",love
908,"Estamos con usted y con Regidor Alejandro Buenrostro en Tonalá, Tonalá para los Tonaltecas, fuera los que no viven aquí y vienen por un botín político",neutral
909,Tonalá está con usted doctor lomelí y con nuestro querido regidor Alejandro Alejandro Buenrostroo,neutral
910,Con el equipo de nuestra regidora Marta Estela Arizmendi Fombona para adelante,neutral
911,No cabe la menor duda Dr Carlos Lomeli próximo Gobernador del estado de Jalisco,neutral
912,"Excelente reunión Dr. Carlos Lomelí Bolaños , un placer acompañarlo y adelante con la 4T en Jalisco.",admiration
913,Que bien ocupamos jente desidia como el doctor Carlos lomeli y Alejando buenrrostro para Jalisco todo nuestro apoyo,approval
914,En Tonalá el equipo de el regidor Alejandro Buenrostro estamos con usted 👍💪,approval
915,Y se logrará. La transformación llegará a nuestro estado con el Dr. Carlos Lomelí Bolaños.,approval
916,Estamos firmes con Usted estimado Doctor!,neutral
917,"En Tonalá, todo el el equipo del Regidor Alejandro Buenrostro lo apoyamos Dr. Carlos Lomelí Bolaños 👍",approval
918,Amigo Doctor Lomeli Usted Es La Fe Y La Esperanza De Jalisco Creemos En Usted Si se Puede Si Se puede Vamos Todos,neutral
919,Angelica Bautista,neutral
920,Ánimo doctor Carlos lomelí todo mi apoyo para usted si se puede dios lo bendiga 🙏,caring
921,Equipo y familia co ud dr lomeli saludos desde cajititlan,neutral
922,Si se puede es el cambio que estamos esperando,optimism
923,Si se puede,neutral
924,"Saludos Dr. Carlos Lomelí Bolaños , usted a recorrido rodos los municipios de Jalisco y conoce las necesidades de sus habitantes, estamos con usted doctor.",caring
925,"No hay aspirante para Jalisco que conozca mejor todo el estado y sus necesidades .
Vamos con Carlos Lomeli 💪",neutral
926,Estamos con usted,caring
927,"Mi apoyo a usted Dr. Carlos Lomeli y al Regidor de Tonalá Alejandro Buenrostro, no queremos gente de Guadalajara que quiera elegirse en Tonalá, que sea simuladora y soberbia y que no vive en Tonalá, Tonalá para los Tonaltecas.",caring
