texto,time,comentarios,repost,me gusta,me encanta,me divierte,me importa,me enoja,me asombra,me entristece,reaction_count,texto_ingles,emocion
"¡Buenas tardes! Ya es hora de la comida y sabemos que nuestro estado posee una variedad culinaria para todos los gustos. Compartan qué es lo que comerán hoy, los estaré leyendo.",2023-09-21 14:00:01,91,5,279,25.0,3.0,,,,,307,"Good afternoon! It is time for food and we know that our state has a culinary variety for all tastes. Share what will eat today, I will be reading them.",neutral
"Las madres del CEAMIVIDA luchan por mantener un espacio único en Guadalajara para las personas con discapacidad contra la indolencia y la avaricia de Pablo Lemus.

¡Defendamos su derecho a una vida digna para sus hijas e hijos!",2023-09-21 10:30:50,8,11,112,9.0,,,,,,121,"The mothers of the ceamivide fight to maintain a unique space in Guadalajara for people with disabilities against indolence and greed of Pablo Lemus.

Let's defend your right to a decent life for your daughters and sons!",approval
"En MORENA, cumplimos nuestra palabra y alzamos la voz por quienes lo necesitan.

¡No al desalojo forzado del CEAMIVIDA!",2023-09-20 12:06:12,33,38,224,156.0,1.0,114.0,,,,495,"In Morena, we fulfill our word and raise the voice for those who need it.

No to the forced eviction of the ceamivide!",approval
,2023-09-19 19:00:38,5,3,108,10.0,1.0,2.0,,,,121,Nan,disapproval
"En unos minutos se llevará a cabo el segundo simulacro nacional 2023. Es vital estar preparados y saber cómo actuar en caso de un sismo. Tu seguridad y la de tus seres queridos son lo más importante. ¡Participa y tomemos juntos medidas de precaución para cuidarnos entre todos!

Secretaría de Seguridad y Protección Ciudadana
17 de septiembre a las 11:00 ·

Los simulacros nos ayudan a saber cómo actuar en caso de un sismo.
Por ello, es importante tu participación en el #SegundoSimulacroNacional2023.
🗓️ 19 de septiembre.
⏰ 11:00 horas.
Más información en: http://preparados.gob.mx/segundosimulacronacional2023/",2023-09-19 10:53:22,1,1,61,2.0,1.0,,,,,64,"In a few minutes, the second 2023 national drill will be carried out. It is vital to be prepared and know how to act in case of an earthquake. Your safety and that of your loved ones are the most important. Participate and take precautionary measures to take care of each other!

Ministry of Security and Citizen Protection
September 17 at 11:00 ·

The drills help us to know how to act in case of an earthquake.
Therefore, your participation in #secondsimulacronational2023 is important.
🗓️ September 19.
⏰ 11:00 hours.
More information at: http://preparados.gob.mx/segondosimulacronacional2023/",caring
"Cuando se trata de defender a Jalisco, no hay vuelta atrás. Siempre estaré aquí, firme y sin titubeos, dispuesto a enfrentar a los malos gobiernos naranjas. ¡Juntos construiremos un Jalisco mejor!",2023-09-19 08:00:00,43,47,281,161.0,3.0,109.0,,,,554,"When it comes to defending Jalisco, there is no turning back. I will always be here, firm and without hesitation, willing to face the bad orange governments. Together we will build a better Jalisco!",approval
"Solamente sumando esfuerzos se puede lograr el objetivo de transformar Jalisco.

Me siento muy agradecido con el gran recibimiento y las muestras de apoyo que nos hicieron vecinas y vecinos del Parque del Refugio. La gente pide un cambio ¡se ve y se siente!",2023-09-18 20:45:42,16,13,211,9.0,1.0,2.0,,,,223,"Only by adding efforts can be achieved the goal of transforming Jalisco.

I feel very grateful to the great reception and the support signs made by neighbors of the Refugio Park. People ask for a change. They look and feel!",admiration
La verdad nos une en este camino de transformación para Jalisco.,2023-09-18 18:00:01,10,30,185,159.0,1.0,119.0,,,,464,The truth unites us in this path of transformation for Jalisco.,neutral
"El día de hoy, madres y padres de usuarios del Centro de Atención Metropolitana Integral para una Vida Digna con Discapacidad, (CEAMIVIDA) acudieron a nuestra rueda de prensa a denunciar cómo el Gobierno deVer más Guadalajara pretender desalojar a sus hijas e hijos de este espacio que les brinda atención integral.

Lo dije en la conferencia de prensa, y lo digo en este espacio, no están solos, las y los regidores de Morena estamos con ellos y los vamos a defender de este gobierno insensible e inhumano.",2023-09-18 14:26:25,22,7,150,15.0,1.0,1.0,,,,167,"Today, mothers and fathers of users of the Comprehensive Metropolitan Care Center for a dignified life with disabilities, (ceamivide) went to our press conference to denounce how the government of the most Guadalajara pretend to dislodge their daughters and sons of this space of this space that gives you comprehensive care.

I said it at the press conference, and I say it in this space, they are not alone, the MORENA councilors are with them and we will defend them from this insensitive and inhuman government.",neutral
"#EnVivo Las personas con alguna discapacidad deben ser atendidas de manera prioritaria; deben mostrar solidaridad, empatía y equidad. Solicitamos al Gobierno de Guadalajara iniciar diálogo abierto con la familia CEAMIVIDA.",2023-09-18 09:30:20,29,8,87,12.0,2.0,,,,,101,"#Envivo people with disabilities must be treated priority; They must show solidarity, empathy and equity. We ask the Guadalajara government to start open dialogue with the Ceamivida family.",approval
"Esta Transformación está avanzando en todo el país y ya nadie la detiene; es el momento de que se escuche la voz de Jalisco y de quienes queremos un estado de bienestar, tranquilidad y prosperidad.

¡En 2024, nuestro destino está en nuestras manos!",2023-09-17 20:00:04,38,21,190,18.0,,3.0,,,,211,"This transformation is advancing throughout the country and nobody stops it; It is time for the voice of Jalisco to be heard and of whom we want a state of well -being, tranquility and prosperity.

In 2024, our destiny is in our hands!",approval
¡Buenos días Jalisco! Hoy es el mejor momento para empezar con toda la actitud para seguir mejorando como personas y enforcarnos en nuestras metas por el Jalisco que queremos.,2023-09-17 08:00:01,12,4,144,12.0,,,,,,156,Good morning Jalisco! Today is the best time to start with all the attitude to continue improving as people and get on our goals for the jalisco we want.,excitement
"Con tu mano y con mi mano, juntos podemos construir el Jalisco que nos merecemos.

¡Vamos adelante!",2023-09-16 12:00:01,28,12,240,24.0,3.0,,,,,267,"With your hand and with my hand, together we can build the jalisco we deserve.

Let's go ahead!",approval
Hoy conmemoramos nuestra independencia y renovamos nuestro compromiso con un México que avance hacia la transformación y la igualdad. ¡Viva México!,2023-09-16 08:00:02,8,4,171,6.0,,,,,,177,Today we commemorate our independence and renew our commitment to a Mexico that advances towards transformation and equality. Long live Mexico!,realization
"Quiero expresar mi admiración y respaldo total a la Dra. Claudia Sheinbaum . Ella es una mujer preparada, comprometida y una fiel representante de nuestro movimiento.

No tengo dudas de que no hay mejores manos para recibir el bastón de mando y continuar con la transformación de México. ¡Adelante, Claudia! ¡Sí se puede!",2023-09-15 20:00:04,6,6,139,8.0,3.0,,1.0,,,151,"I want to express my admiration and total support for Dr. Claudia Sheinbaum. She is a prepared, committed woman and a faithful representative of our movement.

I have no doubt that there are no better hands to receive the command cane and continue with the transformation of Mexico. Go ahead, Claudia! If possible!",admiration
"Con tu mano y con mi mano, juntos podemos construir el Jalisco que nos merecemos.

¡Vamos adelante!",2023-09-15 13:32:27,19,10,190,9.0,,,,,,199,"With your hand and with my hand, together we can build the jalisco we deserve.

Let's go ahead!",approval
,2023-09-15 12:11:21,26,5,179,27.0,,1.0,,,,207,Nan,disapproval
"El día de hoy tuve la oportunidad de acompañar a mi amigo Profe Michel en su segundo informe como presidente municipal de Puerto Vallarta.

Desde el inicio de su administración, el Profe ha demostrado suVer más compromiso con la gente, al poner al centro de su gobierno, los principios que definen a la Cuarta Transformación. ¡Enhorabuena, Profe!",2023-09-14 20:21:35,17,6,208,15.0,2.0,4.0,,,,229,"Today I had the opportunity to accompany my friend Prof Michel in his second report as municipal president of Puerto Vallarta.

Since the beginning of his administration, the teacher has shown more commitment to people, by putting the center of his government, the principles that define the fourth transformation. Congratulations, teacher!",admiration
Los lonches del Mercado Corona son una joya culinaria en Guadalajara. ¿Ya los probaron? Les prometo que les van a encantar.,2023-09-14 14:00:02,7,2,143,4.0,1.0,,,,,148,The slices of the Corona market are a culinary jewel in Guadalajara. Have they tested them? I promise you to love them.,love
"A lo largo de mis experiencias, he presenciado el genuino interés y determinación de líderes como Claudia Sheinbaum hacia los desafíos que enfrenta México. Su carácter comprensivo y su firmeza son evidentes cuando identifica a Jalisco como fundamental en la edificación de una nación más grande. Su enfoque resuena profundamente conmigo. Comparto la creencia de que es vital trabajar codo a codo, siempre con el propósito de forjar un México y un Jalisco más sólidos y unidos.",2023-09-14 07:00:01,8,1,102,12.0,1.0,2.0,,,,117,"Throughout my experiences, I have witnessed the genuine interest and determination of leaders such as Claudia Sheinbaum towards the challenges that Mexico faces. His comprehensive character and firmness are evident when he identifies Jalisco as fundamental in building a larger nation. Your approach is deeply resonated with me. I share the belief that it is vital to work side by side, always with the purpose of forging a more solid and united Mexico and jalisco.",admiration
"Nos merecemos un gobierno que sí pueda cumplir su palabra.

Les comparto esta reflexión:",2023-09-13 20:00:00,17,52,231,212.0,2.0,2.0,1.0,,,448,"We deserve a government that can fulfill your word.

I share this reflection:",approval
"Hoy celebramos el acto heroico de nuestros Niños Héroes, un recordatorio de valentía y sacrificio. Estos actos nos impulsan a seguir luchando por un mejor Jalisco.",2023-09-13 12:00:00,14,3,148,9.0,,1.0,,,,158,"Today we celebrate the heroic act of our children heroes, a reminder of courage and sacrifice. These acts drive us to continue fighting for a better Jalisco.",admiration
"Siempre he luchado y trabajado por mis sueños, pero no lo he hecho solo, he estado acompañado de grandes personas que me han ayudado a conseguirlos.

Les comparto la segunda parte del #DocCast con mi amigo el Dr. Óscar Lomelí.

",2023-09-13 07:56:43,23,20,178,20.0,4.0,3.0,,,,205,"I have always fought and worked for my dreams, but I have not done it alone, I have been accompanied by great people who have helped me get them.

I share the second part of the #Doccast with my friend Dr. Óscar Lomelí.",admiration
,2023-09-12 22:32:34,19,3,196,20.0,5.0,3.0,1.0,,,225,Nan,disapproval
"Las y los regidores de Morena hemos destapado la corrupción y la negligencia del gobierno municipal de Guadalajara en estos dos años de administración.

Trabajamos incansablemente por la transformación de Guadalajara y de todo Jalisco. ¡Juntos, lo haremos posible!",2023-09-12 20:00:15,13,12,117,16.0,3.0,2.0,,,,138,"The MORENA councilors have uncovered the corruption and negligence of the Municipal Government of Guadalajara in these two years of administration.

We work tirelessly for the transformation of Guadalajara and Todo Jalisco. Together, we will make it possible!",approval
"En cada sesión del Ayuntamiento de Guadalajara, reafirmo mi compromiso de trabajar por las causas de los miles de tapatíos que confiaron en mí.

No tengan duda que así seguiré, cumpliendo con mis compromisos y mi palabra.",2023-09-12 15:30:32,23,5,190,17.0,1.0,1.0,,,,209,"In each session of the Guadalajara City Council, I reaffirm my commitment to work for the causes of the thousands of tapatios who trusted me.

They have no doubt that I will continue, fulfilling my commitments and my word.",approval
"Estoy muy contento de que la Dra. Claudia Sheinbaum sea la coordinadora de los Comités de Defensa de la Cuarta Transformación.

Les comparto mi columna al respecto en El Occidental:",2023-09-12 09:00:14,0,0,0,,,,,,,0,"I am very happy that Dr. Claudia Sheinbaum is the coordinator of the Fourth Transformation Defense Committees.

I share my column about it in the western one:",joy
"Solamente desde la honestidad podemos construir una mejor realidad; la realidad de bienestar que merecemos todas y todos en Jalisco.

¡Vivamos en la verdad por el estado que merecemos!",2023-09-11 18:00:02,0,0,0,,,,,,,0,"Only from honesty we can build a better reality; The reality of well -being that we all deserve in Jalisco.

Let's live in the truth for the state we deserve!",approval
"Han sido dos años de un gobierno en Guadalajara lleno de corrupción, impunidad, simulación, engaño, superficialidad e ineptitud.

¿Por qué corrupto? Porque ha entregado el dinero de las y los tapatíos a susVer más amigos. ¿Por qué impune? Porque no ha sido castigado por sus delitos, a pesar de las pruebas de corrupción. ¿Por qué simulador? Porque ha prometido ser honesto y transparente, pero ha sido opaco y caprichoso. ¿Por qué superficial e inepto? Porque se concentra en temas irrelevantes o personales, mientras que los problemas que afectan a la gente se quedan esperando.

Hoy aprovechamos nuestra conferencia de prensa para exponer todos estos temas y reiterar que las y los regidores de Morena no descansaremos hasta que se haga justicia y Guadalajara deje de ser la #CapitalDeLaCorrupción",2023-09-11 13:12:55,0,0,0,,,,,,,0,"They have been two years of a government in Guadalajara full of corruption, impunity, simulation, deception, superficiality and ineptitude.

Why corrupt? Because he has delivered the money of the tapatíos to his vaver more friends. Why unpunished? Because he has not been punished for his crimes, despite corruption evidence. Why simulator? Because he has promised to be honest and transparent, but he has been opaque and capricious. Why superficial and inept? Because it concentrates on irrelevant or personal issues, while the problems that affect people are waiting.

Today we take advantage of our press conference to expose all these issues and reiterate that the brunette councilors will not rest until justice is done and Guadalajara ceases to be the #CapitalDelacorrucia",curiosity
"Conferencia de prensa: Guadalajara, #capitaldelacorrupción",2023-09-11 09:27:33,0,0,0,,,,,,,0,"Press Conference: Guadalajara, #CapitalDelacorrucru",neutral
