,texto,tokens,bigramas_spacy,bigramas_nltk,texto_lematizado,texto_preprocesado,polaridad
298,jajajajajaja esa imagen parece portada de telenovela turca de los 80s siempre he creído que a lomelí lo debe de asesorar algún rival político,"['jajajajajaja', 'esa', 'imagen', 'parece', 'portada', 'de', 'telenovela', 'turca', 'de', 'los', '80s', 'siempre', 'he', 'creído', 'que', 'a', 'lomelí', 'lo', 'debe', 'de', 'asesorar', 'algún', 'rival', 'político']","[('jajajajajaja', 'esa'), ('esa', 'imagen'), ('imagen', 'parece'), ('parece', 'portada'), ('portada', 'de'), ('de', 'telenovela'), ('telenovela', 'turca'), ('turca', 'de'), ('de', 'los'), ('los', '80s'), ('80s', 'siempre'), ('siempre', 'he'), ('he', 'creído'), ('creído', 'que'), ('que', 'a'), ('a', 'lomelí'), ('lomelí', 'lo'), ('lo', 'debe'), ('debe', 'de'), ('de', 'asesorar'), ('asesorar', 'algún'), ('algún', 'rival'), ('rival', 'político')]","[('jajajajajaja', 'esa', 'imagen'), ('esa', 'imagen', 'parece'), ('imagen', 'parece', 'portada'), ('parece', 'portada', 'de'), ('portada', 'de', 'telenovela'), ('de', 'telenovela', 'turca'), ('telenovela', 'turca', 'de'), ('turca', 'de', 'los'), ('de', 'los', '80s'), ('los', '80s', 'siempre'), ('80s', 'siempre', 'he'), ('siempre', 'he', 'creído'), ('he', 'creído', 'que'), ('creído', 'que', 'a'), ('que', 'a', 'lomelí'), ('a', 'lomelí', 'lo'), ('lomelí', 'lo', 'debe'), ('lo', 'debe', 'de'), ('debe', 'de', 'asesorar'), ('de', 'asesorar', 'algún'), ('asesorar', 'algún', 'rival'), ('algún', 'rival', 'político')]",jajajajajajar ese imagen parecer portado de telenovela turco de el 80s siempre haber creer que a lomelí él deber de asesorar alguno rival político,"['jajajajajajar', 'imagen', 'parecer', 'portado', 'telenovela', 'turco', 'creer', 'lomelí', 'deber', 'asesorar', 'rival', 'político']",0.0002294842960084509
299,o sea con venta de medicamentos a sobre precio,"['o', 'sea', 'con', 'venta', 'de', 'medicamentos', 'a', 'sobre', 'precio']","[('o', 'sea'), ('sea', 'con'), ('con', 'venta'), ('venta', 'de'), ('de', 'medicamentos'), ('medicamentos', 'a'), ('a', 'sobre'), ('sobre', 'precio')]","[('o', 'sea', 'con'), ('sea', 'con', 'venta'), ('con', 'venta', 'de'), ('venta', 'de', 'medicamentos'), ('de', 'medicamentos', 'a'), ('medicamentos', 'a', 'sobre'), ('a', 'sobre', 'precio')]",o ser con venta de medicamento a sobre precio,"['venta', 'medicamento', 'precio']",0.36180795661224335
300,aguas con los bots de mc,"['aguas', 'con', 'los', 'bots', 'de', 'mc']","[('aguas', 'con'), ('con', 'los'), ('los', 'bots'), ('bots', 'de'), ('de', 'mc')]","[('aguas', 'con', 'los'), ('con', 'los', 'bots'), ('los', 'bots', 'de'), ('bots', 'de', 'mc')]",agua con el bot de mc,"['agua', 'bot', 'mc']",0.19081648911100305
301,exacto,['exacto'],[],[],exacto,['exacto'],0.49789225920557484
302,igual que amlo,"['igual', 'que', 'amlo']","[('igual', 'que'), ('que', 'amlo')]","[('igual', 'que', 'amlo')]",igual que amlo,['amlo'],0.1473939372472199
303,quien cumple su palabra no tiene miedo del pasado ni del futuro,"['quien', 'cumple', 'su', 'palabra', 'no', 'tiene', 'miedo', 'del', 'pasado', 'ni', 'del', 'futuro']","[('quien', 'cumple'), ('cumple', 'su'), ('su', 'palabra'), ('palabra', 'no'), ('no', 'tiene'), ('tiene', 'miedo'), ('miedo', 'del'), ('del', 'pasado'), ('pasado', 'ni'), ('ni', 'del'), ('del', 'futuro')]","[('quien', 'cumple', 'su'), ('cumple', 'su', 'palabra'), ('su', 'palabra', 'no'), ('palabra', 'no', 'tiene'), ('no', 'tiene', 'miedo'), ('tiene', 'miedo', 'del'), ('miedo', 'del', 'pasado'), ('del', 'pasado', 'ni'), ('pasado', 'ni', 'del'), ('ni', 'del', 'futuro')]",quien cumplir su palabra no tener miedo del pasado ni del futuro,"['cumplir', 'palabra', 'miedo', 'futuro']",0.0003447841023097587
304,dr lobby 33,"['dr', 'lobby', '33']","[('dr', 'lobby'), ('lobby', '33')]","[('dr', 'lobby', '33')]",dr lobby 33,"['dr', 'lobby']",0.49789225920557484
305,algo que claramente no tienes y no entiendes,"['algo', 'que', 'claramente', 'no', 'tienes', 'y', 'no', 'entiendes']","[('algo', 'que'), ('que', 'claramente'), ('claramente', 'no'), ('no', 'tienes'), ('tienes', 'y'), ('y', 'no'), ('no', 'entiendes')]","[('algo', 'que', 'claramente'), ('que', 'claramente', 'no'), ('claramente', 'no', 'tienes'), ('no', 'tienes', 'y'), ('tienes', 'y', 'no'), ('y', 'no', 'entiendes')]",algo que claramente no tener y no entiend,"['claramente', 'entiend']",0.0008483747404296959
306,2,['2'],[],[],2,[],0.49789225920557484
307,me encantaría ver qué pruebes todo lo que dices bigotón,"['me', 'encantaría', 'ver', 'qué', 'pruebes', 'todo', 'lo', 'que', 'dices', 'bigotón']","[('me', 'encantaría'), ('encantaría', 'ver'), ('ver', 'qué'), ('qué', 'pruebes'), ('pruebes', 'todo'), ('todo', 'lo'), ('lo', 'que'), ('que', 'dices'), ('dices', 'bigotón')]","[('me', 'encantaría', 'ver'), ('encantaría', 'ver', 'qué'), ('ver', 'qué', 'pruebes'), ('qué', 'pruebes', 'todo'), ('pruebes', 'todo', 'lo'), ('todo', 'lo', 'que'), ('lo', 'que', 'dices'), ('que', 'dices', 'bigotón')]",yo encantar ver qué pruebser todo él que decir bigotón,"['encantar', 'pruebser', 'bigotón']",0.1578635896701014
308,jajajajajajajaja,['jajajajajajajaja'],[],[],jajajajajajajaja,['jajajajajajajaja'],0.49789225920557484
309,lo dice el dr corruptin,"['lo', 'dice', 'el', 'dr', 'corruptin']","[('lo', 'dice'), ('dice', 'el'), ('el', 'dr'), ('dr', 'corruptin')]","[('lo', 'dice', 'el'), ('dice', 'el', 'dr'), ('el', 'dr', 'corruptin')]",él decir el dr corruptin,"['dr', 'corruptin']",0.059762605137754
310,se original mañanera seria bueno aclarar si en qué se gasta el dinero el ayuntamiento de gdl y también como lomedic vendí a sobre precio y ganaba todas las licitaciones o el 80,"['se', 'original', 'mañanera', 'seria', 'bueno', 'aclarar', 'si', 'en', 'qué', 'se', 'gasta', 'el', 'dinero', 'el', 'ayuntamiento', 'de', 'gdl', 'y', 'también', 'como', 'lomedic', 'vendí', 'a', 'sobre', 'precio', 'y', 'ganaba', 'todas', 'las', 'licitaciones', 'o', 'el', '80']","[('se', 'original'), ('original', 'mañanera'), ('mañanera', 'seria'), ('seria', 'bueno'), ('bueno', 'aclarar'), ('aclarar', 'si'), ('si', 'en'), ('en', 'qué'), ('qué', 'se'), ('se', 'gasta'), ('gasta', 'el'), ('el', 'dinero'), ('dinero', 'el'), ('el', 'ayuntamiento'), ('ayuntamiento', 'de'), ('de', 'gdl'), ('gdl', 'y'), ('y', 'también'), ('también', 'como'), ('como', 'lomedic'), ('lomedic', 'vendí'), ('vendí', 'a'), ('a', 'sobre'), ('sobre', 'precio'), ('precio', 'y'), ('y', 'ganaba'), ('ganaba', 'todas'), ('todas', 'las'), ('las', 'licitaciones'), ('licitaciones', 'o'), ('o', 'el'), ('el', '80')]","[('se', 'original', 'mañanera'), ('original', 'mañanera', 'seria'), ('mañanera', 'seria', 'bueno'), ('seria', 'bueno', 'aclarar'), ('bueno', 'aclarar', 'si'), ('aclarar', 'si', 'en'), ('si', 'en', 'qué'), ('en', 'qué', 'se'), ('qué', 'se', 'gasta'), ('se', 'gasta', 'el'), ('gasta', 'el', 'dinero'), ('el', 'dinero', 'el'), ('dinero', 'el', 'ayuntamiento'), ('el', 'ayuntamiento', 'de'), ('ayuntamiento', 'de', 'gdl'), ('de', 'gdl', 'y'), ('gdl', 'y', 'también'), ('y', 'también', 'como'), ('también', 'como', 'lomedic'), ('como', 'lomedic', 'vendí'), ('lomedic', 'vendí', 'a'), ('vendí', 'a', 'sobre'), ('a', 'sobre', 'precio'), ('sobre', 'precio', 'y'), ('precio', 'y', 'ganaba'), ('y', 'ganaba', 'todas'), ('ganaba', 'todas', 'las'), ('todas', 'las', 'licitaciones'), ('las', 'licitaciones', 'o'), ('licitaciones', 'o', 'el'), ('o', 'el', '80')]",él original mañanera serio bueno aclarar si en qué él gastar el dinero el ayuntamiento de gdl y también como lomedic vender a sobre precio y ganar todo el licitación o el 80,"['original', 'mañanera', 'serio', 'aclarar', 'gastar', 'dinero', 'ayuntamiento', 'gdl', 'lomedic', 'vender', 'precio', 'ganar', 'licitación']",0.0041108387544807855
311,19,['19'],[],[],19,[],0.49789225920557484
312,perdiendo elecciones desde 2004 otro triunfo seguro para mc,"['perdiendo', 'elecciones', 'desde', '2004', 'otro', 'triunfo', 'seguro', 'para', 'mc']","[('perdiendo', 'elecciones'), ('elecciones', 'desde'), ('desde', '2004'), ('2004', 'otro'), ('otro', 'triunfo'), ('triunfo', 'seguro'), ('seguro', 'para'), ('para', 'mc')]","[('perdiendo', 'elecciones', 'desde'), ('elecciones', 'desde', '2004'), ('desde', '2004', 'otro'), ('2004', 'otro', 'triunfo'), ('otro', 'triunfo', 'seguro'), ('triunfo', 'seguro', 'para'), ('seguro', 'para', 'mc')]",perder elección desde 2004 otro triunfo seguro para mc,"['perder', 'elección', 'triunfo', 'seguro', 'mc']",0.4873042191393091
313,de perdedor no tiene nada esta alimaña su historia dice que toda la lana que tiene la hizo por hacer negocios limpios y puros con pri pan prd y morena sin embargo a esos de morena no tienen memoria,"['de', 'perdedor', 'no', 'tiene', 'nada', 'esta', 'alimaña', 'su', 'historia', 'dice', 'que', 'toda', 'la', 'lana', 'que', 'tiene', 'la', 'hizo', 'por', 'hacer', 'negocios', 'limpios', 'y', 'puros', 'con', 'pri', 'pan', 'prd', 'y', 'morena', 'sin', 'embargo', 'a', 'esos', 'de', 'morena', 'no', 'tienen', 'memoria']","[('de', 'perdedor'), ('perdedor', 'no'), ('no', 'tiene'), ('tiene', 'nada'), ('nada', 'esta'), ('esta', 'alimaña'), ('alimaña', 'su'), ('su', 'historia'), ('historia', 'dice'), ('dice', 'que'), ('que', 'toda'), ('toda', 'la'), ('la', 'lana'), ('lana', 'que'), ('que', 'tiene'), ('tiene', 'la'), ('la', 'hizo'), ('hizo', 'por'), ('por', 'hacer'), ('hacer', 'negocios'), ('negocios', 'limpios'), ('limpios', 'y'), ('y', 'puros'), ('puros', 'con'), ('con', 'pri'), ('pri', 'pan'), ('pan', 'prd'), ('prd', 'y'), ('y', 'morena'), ('morena', 'sin'), ('sin', 'embargo'), ('embargo', 'a'), ('a', 'esos'), ('esos', 'de'), ('de', 'morena'), ('morena', 'no'), ('no', 'tienen'), ('tienen', 'memoria')]","[('de', 'perdedor', 'no'), ('perdedor', 'no', 'tiene'), ('no', 'tiene', 'nada'), ('tiene', 'nada', 'esta'), ('nada', 'esta', 'alimaña'), ('esta', 'alimaña', 'su'), ('alimaña', 'su', 'historia'), ('su', 'historia', 'dice'), ('historia', 'dice', 'que'), ('dice', 'que', 'toda'), ('que', 'toda', 'la'), ('toda', 'la', 'lana'), ('la', 'lana', 'que'), ('lana', 'que', 'tiene'), ('que', 'tiene', 'la'), ('tiene', 'la', 'hizo'), ('la', 'hizo', 'por'), ('hizo', 'por', 'hacer'), ('por', 'hacer', 'negocios'), ('hacer', 'negocios', 'limpios'), ('negocios', 'limpios', 'y'), ('limpios', 'y', 'puros'), ('y', 'puros', 'con'), ('puros', 'con', 'pri'), ('con', 'pri', 'pan'), ('pri', 'pan', 'prd'), ('pan', 'prd', 'y'), ('prd', 'y', 'morena'), ('y', 'morena', 'sin'), ('morena', 'sin', 'embargo'), ('sin', 'embargo', 'a'), ('embargo', 'a', 'esos'), ('a', 'esos', 'de'), ('esos', 'de', 'morena'), ('de', 'morena', 'no'), ('morena', 'no', 'tienen'), ('no', 'tienen', 'memoria')]",de perdedor no tener nada este alimaña su historia decir que todo el lana que tener él hacer por hacer negocio limpio y puro con pri pan prd y morena sin embargo a ese de morena no tener memoria,"['perdedor', 'alimaña', 'historia', 'lana', 'negocio', 'limpio', 'puro', 'pri', 'pan', 'prd', 'morena', 'morena', 'memoria']",1.454454196545778e-11
314,el zar de la medicina durante los gobiernos que tanto critica y también de prd y morena pero ya se le olvidó que vendía caducado clonado y así te precio buscado por los americanos desde hace años,"['el', 'zar', 'de', 'la', 'medicina', 'durante', 'los', 'gobiernos', 'que', 'tanto', 'critica', 'y', 'también', 'de', 'prd', 'y', 'morena', 'pero', 'ya', 'se', 'le', 'olvidó', 'que', 'vendía', 'caducado', 'clonado', 'y', 'así', 'te', 'precio', 'buscado', 'por', 'los', 'americanos', 'desde', 'hace', 'años']","[('el', 'zar'), ('zar', 'de'), ('de', 'la'), ('la', 'medicina'), ('medicina', 'durante'), ('durante', 'los'), ('los', 'gobiernos'), ('gobiernos', 'que'), ('que', 'tanto'), ('tanto', 'critica'), ('critica', 'y'), ('y', 'también'), ('también', 'de'), ('de', 'prd'), ('prd', 'y'), ('y', 'morena'), ('morena', 'pero'), ('pero', 'ya'), ('ya', 'se'), ('se', 'le'), ('le', 'olvidó'), ('olvidó', 'que'), ('que', 'vendía'), ('vendía', 'caducado'), ('caducado', 'clonado'), ('clonado', 'y'), ('y', 'así'), ('así', 'te'), ('te', 'precio'), ('precio', 'buscado'), ('buscado', 'por'), ('por', 'los'), ('los', 'americanos'), ('americanos', 'desde'), ('desde', 'hace'), ('hace', 'años')]","[('el', 'zar', 'de'), ('zar', 'de', 'la'), ('de', 'la', 'medicina'), ('la', 'medicina', 'durante'), ('medicina', 'durante', 'los'), ('durante', 'los', 'gobiernos'), ('los', 'gobiernos', 'que'), ('gobiernos', 'que', 'tanto'), ('que', 'tanto', 'critica'), ('tanto', 'critica', 'y'), ('critica', 'y', 'también'), ('y', 'también', 'de'), ('también', 'de', 'prd'), ('de', 'prd', 'y'), ('prd', 'y', 'morena'), ('y', 'morena', 'pero'), ('morena', 'pero', 'ya'), ('pero', 'ya', 'se'), ('ya', 'se', 'le'), ('se', 'le', 'olvidó'), ('le', 'olvidó', 'que'), ('olvidó', 'que', 'vendía'), ('que', 'vendía', 'caducado'), ('vendía', 'caducado', 'clonado'), ('caducado', 'clonado', 'y'), ('clonado', 'y', 'así'), ('y', 'así', 'te'), ('así', 'te', 'precio'), ('te', 'precio', 'buscado'), ('precio', 'buscado', 'por'), ('buscado', 'por', 'los'), ('por', 'los', 'americanos'), ('los', 'americanos', 'desde'), ('americanos', 'desde', 'hace'), ('desde', 'hace', 'años')]",el zar de el medicina durante el gobierno que tanto criticar y también de prd y morena pero ya él él olvidar que vender caducado clonado y así tú precio buscado por el americano desde hacer año,"['zar', 'medicina', 'gobierno', 'criticar', 'prd', 'morena', 'olvidar', 'vender', 'caducado', 'clonado', 'precio', 'buscado', 'americano', 'año']",5.531449047556114e-07
315,no para nada no lomeli es candidato perdedor es tiempo de mujeres clara cárdenas,"['no', 'para', 'nada', 'no', 'lomeli', 'es', 'candidato', 'perdedor', 'es', 'tiempo', 'de', 'mujeres', 'clara', 'cárdenas']","[('no', 'para'), ('para', 'nada'), ('nada', 'no'), ('no', 'lomeli'), ('lomeli', 'es'), ('es', 'candidato'), ('candidato', 'perdedor'), ('perdedor', 'es'), ('es', 'tiempo'), ('tiempo', 'de'), ('de', 'mujeres'), ('mujeres', 'clara'), ('clara', 'cárdenas')]","[('no', 'para', 'nada'), ('para', 'nada', 'no'), ('nada', 'no', 'lomeli'), ('no', 'lomeli', 'es'), ('lomeli', 'es', 'candidato'), ('es', 'candidato', 'perdedor'), ('candidato', 'perdedor', 'es'), ('perdedor', 'es', 'tiempo'), ('es', 'tiempo', 'de'), ('tiempo', 'de', 'mujeres'), ('de', 'mujeres', 'clara'), ('mujeres', 'clara', 'cárdenas')]",no para nada no lomeli ser candidato perdedor ser tiempo de mujer claro cárdena,"['lomeli', 'candidato', 'perdedor', 'tiempo', 'mujer', 'cárdena']",0.00011334840165715992
316,5,['5'],[],[],5,[],0.49789225920557484
317,yo creo que por eso la gente no fue por lo nublado otra vez jaja,"['yo', 'creo', 'que', 'por', 'eso', 'la', 'gente', 'no', 'fue', 'por', 'lo', 'nublado', 'otra', 'vez', 'jaja']","[('yo', 'creo'), ('creo', 'que'), ('que', 'por'), ('por', 'eso'), ('eso', 'la'), ('la', 'gente'), ('gente', 'no'), ('no', 'fue'), ('fue', 'por'), ('por', 'lo'), ('lo', 'nublado'), ('nublado', 'otra'), ('otra', 'vez'), ('vez', 'jaja')]","[('yo', 'creo', 'que'), ('creo', 'que', 'por'), ('que', 'por', 'eso'), ('por', 'eso', 'la'), ('eso', 'la', 'gente'), ('la', 'gente', 'no'), ('gente', 'no', 'fue'), ('no', 'fue', 'por'), ('fue', 'por', 'lo'), ('por', 'lo', 'nublado'), ('lo', 'nublado', 'otra'), ('nublado', 'otra', 'vez'), ('otra', 'vez', 'jaja')]",yo creer que por ese el gente no ser por él nublado otro vez jajar,"['creer', 'gente', 'nublado', 'jajar']",5.460774015386507e-07
318,tenías 2 años inactivo sin ir a trabajar y se acercan las elecciones y ahora si te dió por disque trabajar,"['tenías', '2', 'años', 'inactivo', 'sin', 'ir', 'a', 'trabajar', 'y', 'se', 'acercan', 'las', 'elecciones', 'y', 'ahora', 'si', 'te', 'dió', 'por', 'disque', 'trabajar']","[('tenías', '2'), ('2', 'años'), ('años', 'inactivo'), ('inactivo', 'sin'), ('sin', 'ir'), ('ir', 'a'), ('a', 'trabajar'), ('trabajar', 'y'), ('y', 'se'), ('se', 'acercan'), ('acercan', 'las'), ('las', 'elecciones'), ('elecciones', 'y'), ('y', 'ahora'), ('ahora', 'si'), ('si', 'te'), ('te', 'dió'), ('dió', 'por'), ('por', 'disque'), ('disque', 'trabajar')]","[('tenías', '2', 'años'), ('2', 'años', 'inactivo'), ('años', 'inactivo', 'sin'), ('inactivo', 'sin', 'ir'), ('sin', 'ir', 'a'), ('ir', 'a', 'trabajar'), ('a', 'trabajar', 'y'), ('trabajar', 'y', 'se'), ('y', 'se', 'acercan'), ('se', 'acercan', 'las'), ('acercan', 'las', 'elecciones'), ('las', 'elecciones', 'y'), ('elecciones', 'y', 'ahora'), ('y', 'ahora', 'si'), ('ahora', 'si', 'te'), ('si', 'te', 'dió'), ('te', 'dió', 'por'), ('dió', 'por', 'disque'), ('por', 'disque', 'trabajar')]",tenía 2 año inactivo sin ir a trabajar y él acercar el elección y ahora si tú deír por disque trabajar,"['año', 'inactivo', 'trabajar', 'acercar', 'elección', 'deír', 'disque', 'trabajar']",0.0009492967807013834
319,si claro la misma encuestadora que era la única que daba por ganador a marcelo,"['si', 'claro', 'la', 'misma', 'encuestadora', 'que', 'era', 'la', 'única', 'que', 'daba', 'por', 'ganador', 'a', 'marcelo']","[('si', 'claro'), ('claro', 'la'), ('la', 'misma'), ('misma', 'encuestadora'), ('encuestadora', 'que'), ('que', 'era'), ('era', 'la'), ('la', 'única'), ('única', 'que'), ('que', 'daba'), ('daba', 'por'), ('por', 'ganador'), ('ganador', 'a'), ('a', 'marcelo')]","[('si', 'claro', 'la'), ('claro', 'la', 'misma'), ('la', 'misma', 'encuestadora'), ('misma', 'encuestadora', 'que'), ('encuestadora', 'que', 'era'), ('que', 'era', 'la'), ('era', 'la', 'única'), ('la', 'única', 'que'), ('única', 'que', 'daba'), ('que', 'daba', 'por'), ('daba', 'por', 'ganador'), ('por', 'ganador', 'a'), ('ganador', 'a', 'marcelo')]",si claro el mismo encuestadoro que ser el único que dar por ganador a marcelo,"['encuestadoro', 'único', 'ganador', 'marcelo']",0.004126185731840824
320,que triste lomeli es un pésimo candidato con mucho dinero,"['que', 'triste', 'lomeli', 'es', 'un', 'pésimo', 'candidato', 'con', 'mucho', 'dinero']","[('que', 'triste'), ('triste', 'lomeli'), ('lomeli', 'es'), ('es', 'un'), ('un', 'pésimo'), ('pésimo', 'candidato'), ('candidato', 'con'), ('con', 'mucho'), ('mucho', 'dinero')]","[('que', 'triste', 'lomeli'), ('triste', 'lomeli', 'es'), ('lomeli', 'es', 'un'), ('es', 'un', 'pésimo'), ('un', 'pésimo', 'candidato'), ('pésimo', 'candidato', 'con'), ('candidato', 'con', 'mucho'), ('con', 'mucho', 'dinero')]",que triste lomeli ser uno pésimo candidato con mucho dinero,"['triste', 'lomeli', 'pésimo', 'candidato', 'dinero']",2.319275830099288e-05
321,le darás carta abierta lemus para la gobernatura pongan jóvenes ideas nuevas no el mismo discurso y los personajes de siempre,"['le', 'darás', 'carta', 'abierta', 'lemus', 'para', 'la', 'gobernatura', 'pongan', 'jóvenes', 'ideas', 'nuevas', 'no', 'el', 'mismo', 'discurso', 'y', 'los', 'personajes', 'de', 'siempre']","[('le', 'darás'), ('darás', 'carta'), ('carta', 'abierta'), ('abierta', 'lemus'), ('lemus', 'para'), ('para', 'la'), ('la', 'gobernatura'), ('gobernatura', 'pongan'), ('pongan', 'jóvenes'), ('jóvenes', 'ideas'), ('ideas', 'nuevas'), ('nuevas', 'no'), ('no', 'el'), ('el', 'mismo'), ('mismo', 'discurso'), ('discurso', 'y'), ('y', 'los'), ('los', 'personajes'), ('personajes', 'de'), ('de', 'siempre')]","[('le', 'darás', 'carta'), ('darás', 'carta', 'abierta'), ('carta', 'abierta', 'lemus'), ('abierta', 'lemus', 'para'), ('lemus', 'para', 'la'), ('para', 'la', 'gobernatura'), ('la', 'gobernatura', 'pongan'), ('gobernatura', 'pongan', 'jóvenes'), ('pongan', 'jóvenes', 'ideas'), ('jóvenes', 'ideas', 'nuevas'), ('ideas', 'nuevas', 'no'), ('nuevas', 'no', 'el'), ('no', 'el', 'mismo'), ('el', 'mismo', 'discurso'), ('mismo', 'discurso', 'y'), ('discurso', 'y', 'los'), ('y', 'los', 'personajes'), ('los', 'personajes', 'de'), ('personajes', 'de', 'siempre')]",él darás carta abierto lemus para el gobernatura poner joven idea nuevo no el mismo discurso y el personaje de siempre,"['darás', 'carta', 'abierto', 'lemus', 'gobernatura', 'joven', 'idea', 'discurso', 'personaje']",2.2259219429330685e-05
322,quién será el otro que aparece con el 119 en segundo lugar,"['quién', 'será', 'el', 'otro', 'que', 'aparece', 'con', 'el', '11', '9', 'en', 'segundo', 'lugar']","[('quién', 'será'), ('será', 'el'), ('el', 'otro'), ('otro', 'que'), ('que', 'aparece'), ('aparece', 'con'), ('con', 'el'), ('el', '119'), ('119', 'en'), ('en', 'segundo'), ('segundo', 'lugar')]","[('quién', 'será', 'el'), ('será', 'el', 'otro'), ('el', 'otro', 'que'), ('otro', 'que', 'aparece'), ('que', 'aparece', 'con'), ('aparece', 'con', 'el'), ('con', 'el', '119'), ('el', '119', 'en'), ('119', 'en', 'segundo'), ('en', 'segundo', 'lugar')]",quién ser el otro que aparecer con el 119 en segundo lugar,"['aparecer', 'lugar']",0.00884969430943622
323,el mayor corrupto de todo el partido pero bueno habrá que esperar a ver si no resulta que reclutan a un panista o priista en una de esas viene claudia y presenta al güero barba,"['el', 'mayor', 'corrupto', 'de', 'todo', 'el', 'partido', 'pero', 'bueno', 'habrá', 'que', 'esperar', 'a', 'ver', 'si', 'no', 'resulta', 'que', 'reclutan', 'a', 'un', 'panista', 'o', 'priista', 'en', 'una', 'de', 'esas', 'viene', 'claudia', 'y', 'presenta', 'al', 'güero', 'barba']","[('el', 'mayor'), ('mayor', 'corrupto'), ('corrupto', 'de'), ('de', 'todo'), ('todo', 'el'), ('el', 'partido'), ('partido', 'pero'), ('pero', 'bueno'), ('bueno', 'habrá'), ('habrá', 'que'), ('que', 'esperar'), ('esperar', 'a'), ('a', 'ver'), ('ver', 'si'), ('si', 'no'), ('no', 'resulta'), ('resulta', 'que'), ('que', 'reclutan'), ('reclutan', 'a'), ('a', 'un'), ('un', 'panista'), ('panista', 'o'), ('o', 'priista'), ('priista', 'en'), ('en', 'una'), ('una', 'de'), ('de', 'esas'), ('esas', 'viene'), ('viene', 'claudia'), ('claudia', 'y'), ('y', 'presenta'), ('presenta', 'al'), ('al', 'güero'), ('güero', 'barba')]","[('el', 'mayor', 'corrupto'), ('mayor', 'corrupto', 'de'), ('corrupto', 'de', 'todo'), ('de', 'todo', 'el'), ('todo', 'el', 'partido'), ('el', 'partido', 'pero'), ('partido', 'pero', 'bueno'), ('pero', 'bueno', 'habrá'), ('bueno', 'habrá', 'que'), ('habrá', 'que', 'esperar'), ('que', 'esperar', 'a'), ('esperar', 'a', 'ver'), ('a', 'ver', 'si'), ('ver', 'si', 'no'), ('si', 'no', 'resulta'), ('no', 'resulta', 'que'), ('resulta', 'que', 'reclutan'), ('que', 'reclutan', 'a'), ('reclutan', 'a', 'un'), ('a', 'un', 'panista'), ('un', 'panista', 'o'), ('panista', 'o', 'priista'), ('o', 'priista', 'en'), ('priista', 'en', 'una'), ('en', 'una', 'de'), ('una', 'de', 'esas'), ('de', 'esas', 'viene'), ('esas', 'viene', 'claudia'), ('viene', 'claudia', 'y'), ('claudia', 'y', 'presenta'), ('y', 'presenta', 'al'), ('presenta', 'al', 'güero'), ('al', 'güero', 'barba')]",el mayor corrupto de todo el partido pero bueno haber que esperar a ver si no resultar que reclutir a uno panista o priista en uno de ese venir claudia y presentar al güero barbo,"['corrupto', 'partido', 'esperar', 'resultar', 'reclutir', 'panista', 'priista', 'venir', 'claudia', 'presentar', 'güero', 'barbo']",0.00013008930803822132
324,recuerda que todo es reversible en tiempos de definición,"['recuerda', 'que', 'todo', 'es', 'reversible', 'en', 'tiempos', 'de', 'definición']","[('recuerda', 'que'), ('que', 'todo'), ('todo', 'es'), ('es', 'reversible'), ('reversible', 'en'), ('en', 'tiempos'), ('tiempos', 'de'), ('de', 'definición')]","[('recuerda', 'que', 'todo'), ('que', 'todo', 'es'), ('todo', 'es', 'reversible'), ('es', 'reversible', 'en'), ('reversible', 'en', 'tiempos'), ('en', 'tiempos', 'de'), ('tiempos', 'de', 'definición')]",recordar que todo ser reversible en tiempo de definición,"['recordar', 'reversible', 'tiempo', 'definición']",0.33218323746654105
325,no me sorprende tremendo pndejazo apoyando a morena,"['no', 'me', 'sorprende', 'tremendo', 'pndejazo', 'apoyando', 'a', 'morena']","[('no', 'me'), ('me', 'sorprende'), ('sorprende', 'tremendo'), ('tremendo', 'pndejazo'), ('pndejazo', 'apoyando'), ('apoyando', 'a'), ('a', 'morena')]","[('no', 'me', 'sorprende'), ('me', 'sorprende', 'tremendo'), ('sorprende', 'tremendo', 'pndejazo'), ('tremendo', 'pndejazo', 'apoyando'), ('pndejazo', 'apoyando', 'a'), ('apoyando', 'a', 'morena')]",no yo sorprender tremendo pndejazo apoyar a morén,"['sorprender', 'tremendo', 'pndejazo', 'apoyar', 'morén']",0.02698615743726635
326,morena acaba de vender al estado una pena,"['morena', 'acaba', 'de', 'vender', 'al', 'estado', 'una', 'pena']","[('morena', 'acaba'), ('acaba', 'de'), ('de', 'vender'), ('vender', 'al'), ('al', 'estado'), ('estado', 'una'), ('una', 'pena')]","[('morena', 'acaba', 'de'), ('acaba', 'de', 'vender'), ('de', 'vender', 'al'), ('vender', 'al', 'estado'), ('al', 'estado', 'una'), ('estado', 'una', 'pena')]",morena acabar de vender al estado uno pena,"['morena', 'acabar', 'vender', 'pena']",0.029287801266760106
327,chema,['chema'],[],[],chemo,['chemir'],0.49789225920557484
328,4,['4'],[],[],4,[],0.49789225920557484
