,usuario,texto,texto_limpio,tokens
149,xd,los mismos políticos ..que solo vuelven a Chiapas en elecciones..,los mismos polticos que solo vuelven a chiapas en elecciones,"['los', 'mismos', 'polticos', 'que', 'solo', 'vuelven', 'a', 'chiapas', 'en', 'elecciones']"
150,antoniobarreto9814,"Una pregunta,
Que propuestas presento usted durante el periodo legislativo que fueran a favor de Chiapas ?
o solo se está colgando de AMLO","una pregunta
que propuestas presento usted durante el periodo legislativo que fueran a favor de chiapas 
o solo se est colgando de amlo","['una', 'pregunta', 'que', 'propuestas', 'presento', 'usted', 'durante', 'el', 'periodo', 'legislativo', 'que', 'fueran', 'a', 'favor', 'de', 'chiapas', 'o', 'solo', 'se', 'est', 'colgando', 'de', 'amlo']"
151,Luis Carlos,Ojalá no gane,ojal no gane,"['ojal', 'no', 'gane']"
152,.,después no las va a conocer 🤣🤣 todo mundo es así en el poder se olvidan del pobre 🤣🤣🤣,despus no las va a conocer  todo mundo es as en el poder se olvidan del pobre ,"['despus', 'no', 'las', 'va', 'a', 'conocer', 'todo', 'mundo', 'es', 'as', 'en', 'el', 'poder', 'se', 'olvidan', 'del', 'pobre']"
153,𝔹𝔸𝕃ℂ𝔸ℤ𝔸ℝ,declaro inagurada la temporada de los políticos re humildes XDDDDDDD,declaro inagurada la temporada de los polticos re humildes xddddddd,"['declaro', 'inagurada', 'la', 'temporada', 'de', 'los', 'polticos', 're', 'humildes', 'xddddddd']"
154,cardenas,Jajajaja ahorita se toma fotos porque están en campaña luego ni conocen ojalá y no gane porque no ha hecho nada por chiapas,jajajaja ahorita se toma fotos porque estn en campaa luego ni conocen ojal y no gane porque no ha hecho nada por chiapas,"['jajajaja', 'ahorita', 'se', 'toma', 'fotos', 'porque', 'estn', 'en', 'campaa', 'luego', 'ni', 'conocen', 'ojal', 'y', 'no', 'gane', 'porque', 'no', 'ha', 'hecho', 'nada', 'por', 'chiapas']"
155,PAOLA RUIZ. PR love también 💕,"hasta que se acuerda de su pueblo,solo xq quiere otro hueso. digo ya tuve un cargo y no hizo nada por chiapas . póngase a trabajar con lo que se qdo $",hasta que se acuerda de su pueblosolo xq quiere otro hueso digo ya tuve un cargo y no hizo nada por chiapas  pngase a trabajar con lo que se qdo ,"['hasta', 'que', 'se', 'acuerda', 'de', 'su', 'pueblosolo', 'xq', 'quiere', 'otro', 'hueso', 'digo', 'ya', 'tuve', 'un', 'cargo', 'y', 'no', 'hizo', 'nada', 'por', 'chiapas', 'pngase', 'a', 'trabajar', 'con', 'lo', 'que', 'se', 'qdo']"
156,Luis Alberto  Pablo Diaz,"Ya vienen las elecciones y se aparecen, hipócritas.",ya vienen las elecciones y se aparecen hipcritas,"['ya', 'vienen', 'las', 'elecciones', 'y', 'se', 'aparecen', 'hipcritas']"
157,Anitha!!,ya deja de gastar nuestro dinero,ya deja de gastar nuestro dinero,"['ya', 'deja', 'de', 'gastar', 'nuestro', 'dinero']"
158,user4043407119975,Ridícula,ridcula,['ridcula']
159,Eli Gamboa,🥰🥰🥰🥰🥰,,[]
160,TanguyMoo,Ridicula corrupta no serás gobernadora…,ridicula corrupta no sers gobernadora,"['ridicula', 'corrupta', 'no', 'sers', 'gobernadora']"
161,Efraín Serrano,😂😂😂😂,,[]
162,Milena Lopez Calzada,Ya se están disfrazando de humildes.,ya se estn disfrazando de humildes,"['ya', 'se', 'estn', 'disfrazando', 'de', 'humildes']"
163,COELLO PAULO,❤️🥰😍,,[]
164,UlisesL,No diga mamadas 🥴,no diga mamadas ,"['no', 'diga', 'mamadas']"
165,robertosaraoz,Vergüenza no tienen estos politiqueros!,vergenza no tienen estos politiqueros,"['vergenza', 'no', 'tienen', 'estos', 'politiqueros']"
166,Herrera Ignacho,"Que delicia, cuando pase por Chiapa de corzo me invita una mojarra frita, la acepto.. 😜",que delicia cuando pase por chiapa de corzo me invita una mojarra frita la acepto ,"['que', 'delicia', 'cuando', 'pase', 'por', 'chiapa', 'de', 'corzo', 'me', 'invita', 'una', 'mojarra', 'frita', 'la', 'acepto']"
167,luigy396,"ESTA.TIPA COMO MUCHOS DE SU TIPO,CONSIDERAN O SIGUEN CONSIDERANDO AL CHIAPANECO COMO UN IGNORANTE.POLITICO AL QUE SE LE PUEDE MANEJAR...",estatipa como muchos de su tipoconsideran o siguen considerando al chiapaneco como un ignorantepolitico al que se le puede manejar,"['estatipa', 'como', 'muchos', 'de', 'su', 'tipoconsideran', 'o', 'siguen', 'considerando', 'al', 'chiapaneco', 'como', 'un', 'ignorantepolitico', 'al', 'que', 'se', 'le', 'puede', 'manejar']"
168,luigy396,NO LE.DEN EL.VOTO A ESTA TREPADORA DE.LA POLITICA,no leden elvoto a esta trepadora dela politica,"['no', 'leden', 'elvoto', 'a', 'esta', 'trepadora', 'dela', 'politica']"
169,user4043407119975,Esta mujer parece como el nucu por temporada sale nadamas,esta mujer parece como el nucu por temporada sale nadamas,"['esta', 'mujer', 'parece', 'como', 'el', 'nucu', 'por', 'temporada', 'sale', 'nadamas']"
170,javiermontufarand,Ya por que es campaña ya aparece en las calles por q durante todooooooooooooooo el año ni sus luces!,ya por que es campaa ya aparece en las calles por q durante todooooooooooooooo el ao ni sus luces,"['ya', 'por', 'que', 'es', 'campaa', 'ya', 'aparece', 'en', 'las', 'calles', 'por', 'q', 'durante', 'todooooooooooooooo', 'el', 'ao', 'ni', 'sus', 'luces']"
171,Jesus Jesus,tengo hambre invite,tengo hambre invite,"['tengo', 'hambre', 'invite']"
172,Iyac Guillen,Jajaja cuanta falsedad e hipocresía.,jajaja cuanta falsedad e hipocresa,"['jajaja', 'cuanta', 'falsedad', 'e', 'hipocresa']"
173,emily,"recuerdas cuando eras del Verde? eres un vergüenza de mujer,te acostumbraste a vivir de rémora.tu no representas a las mujeres de Chiapas,que poca!",recuerdas cuando eras del verde eres un vergenza de mujerte acostumbraste a vivir de rmoratu no representas a las mujeres de chiapasque poca,"['recuerdas', 'cuando', 'eras', 'del', 'verde', 'eres', 'un', 'vergenza', 'de', 'mujerte', 'acostumbraste', 'a', 'vivir', 'de', 'rmoratu', 'no', 'representas', 'a', 'las', 'mujeres', 'de', 'chiapasque', 'poca']"
174,COELLO PAULO,😂🤣,,[]
175,luigy396,AYY!! SI MIRA!! ORITA ES QUE SALEN A DARSE BAÑOS DE PUEBLO NO MAMEN!!,ayy si mira orita es que salen a darse baos de pueblo no mamen,"['ayy', 'si', 'mira', 'orita', 'es', 'que', 'salen', 'a', 'darse', 'baos', 'de', 'pueblo', 'no', 'mamen']"
176,jazmin,🥰,,[]
177,Victor Castillo2555,🥰,,[]
178,Montse De León,🥰🥰,,[]
179,Martin Martinez Arev,"solo la conozco por su propaganda espectacular con AMLO, no es buena señal colgarse de la imagen de AMLO y menos pagando esos espectaculares",solo la conozco por su propaganda espectacular con amlo no es buena seal colgarse de la imagen de amlo y menos pagando esos espectaculares,"['solo', 'la', 'conozco', 'por', 'su', 'propaganda', 'espectacular', 'con', 'amlo', 'no', 'es', 'buena', 'seal', 'colgarse', 'de', 'la', 'imagen', 'de', 'amlo', 'y', 'menos', 'pagando', 'esos', 'espectaculares']"
180,martinfelicianoh,"me gustaría conocer en su trayectoria política los logros que ha tenido en nuestro Estado, para ver a qué le tiro con mi próximo voto.",me gustara conocer en su trayectoria poltica los logros que ha tenido en nuestro estado para ver a qu le tiro con mi prximo voto,"['me', 'gustara', 'conocer', 'en', 'su', 'trayectoria', 'poltica', 'los', 'logros', 'que', 'ha', 'tenido', 'en', 'nuestro', 'estado', 'para', 'ver', 'a', 'qu', 'le', 'tiro', 'con', 'mi', 'prximo', 'voto']"
181,Virgilio Hernandez M,😂😂😂😂😂,,[]
182,Valc,Su momento más humilde,su momento ms humilde,"['su', 'momento', 'ms', 'humilde']"
183,elbetovelasco,"más de lo mismo. ya no queremos otro güero Velasco o inepto de Rutilio.
trae la misma vieja escuela.","ms de lo mismo ya no queremos otro gero velasco o inepto de rutilio
trae la misma vieja escuela","['ms', 'de', 'lo', 'mismo', 'ya', 'no', 'queremos', 'otro', 'gero', 'velasco', 'o', 'inepto', 'de', 'rutilio', 'trae', 'la', 'misma', 'vieja', 'escuela']"
184,Ag Roxs,ahorita micho amor a los indígenas y después se olvidan del pueblo,ahorita micho amor a los indgenas y despus se olvidan del pueblo,"['ahorita', 'micho', 'amor', 'a', 'los', 'indgenas', 'y', 'despus', 'se', 'olvidan', 'del', 'pueblo']"
185,user4043407119975,"Ya volvió esta mujer, sin hacer nada para el pueblo, pero bien que factura",ya volvi esta mujer sin hacer nada para el pueblo pero bien que factura,"['ya', 'volvi', 'esta', 'mujer', 'sin', 'hacer', 'nada', 'para', 'el', 'pueblo', 'pero', 'bien', 'que', 'factura']"
186,Frankenstein,saludos amiguita bendiciones,saludos amiguita bendiciones,"['saludos', 'amiguita', 'bendiciones']"
187,rexx713,tiempo de baños de pueblo😉,tiempo de baos de pueblo,"['tiempo', 'de', 'baos', 'de', 'pueblo']"
188,Daviid ANtoniio Cham,"Viene de la linia del guero, pura corrupcion",viene de la linia del guero pura corrupcion,"['viene', 'de', 'la', 'linia', 'del', 'guero', 'pura', 'corrupcion']"
189,luigy396,OORAA RESULTAAA!!!!,ooraa resultaaa,"['ooraa', 'resultaaa']"
190,Joseluis Garcia Trujillo,😂,,[]
191,luigy396,NI UN VOTO A ESTA SEÑORA OPORTUNISTA CLASISTA BUENA PARA NADA!!,ni un voto a esta seora oportunista clasista buena para nada,"['ni', 'un', 'voto', 'a', 'esta', 'seora', 'oportunista', 'clasista', 'buena', 'para', 'nada']"
192,luigy396,"ESTA SEÑORA LUCE EN CHIAPAS POR SU AUSCENCIA,DEVERAS CREN AMIGOS CHIAPANECOS EN ESTA TIPA?? AHI SE LOS DEJAMOS DE TAREA..",esta seora luce en chiapas por su auscenciadeveras cren amigos chiapanecos en esta tipa ahi se los dejamos de tarea,"['esta', 'seora', 'luce', 'en', 'chiapas', 'por', 'su', 'auscenciadeveras', 'cren', 'amigos', 'chiapanecos', 'en', 'esta', 'tipa', 'ahi', 'se', 'los', 'dejamos', 'de', 'tarea']"
193,brenic07,😂😂😂,,[]
194,Dani Garrido652,Que Humildad 🥰 jajaja 😏,que humildad  jajaja ,"['que', 'humildad', 'jajaja']"
195,Alejandro A. Madrid,🥰,,[]
197,Alejandro A. Madrid,🥰,,[]
198,Minerva Vargaz,Te quedo hermoso!!!!!,te quedo hermoso,"['te', 'quedo', 'hermoso']"
199,vilchiwtpxo,amo a mi presidente López Obrador 🥰🥰🥰🥰🥰🥰🥰🥰,amo a mi presidente lpez obrador ,"['amo', 'a', 'mi', 'presidente', 'lpez', 'obrador']"
200,PjMjMRNA,@PjMjMRNA:VIVA LA 4T,pjmjmrnaviva la t,"['pjmjmrnaviva', 'la', 't']"
201,abuelajaja,🥰,,[]
202,Meli,Gracias a todos los que asistimos 🥰🥰🥰,gracias a todos los que asistimos ,"['gracias', 'a', 'todos', 'los', 'que', 'asistimos']"
203,truki,🥰,,[]
204,Lulu Veri,VIVA AMLO VIVA MEXICO,viva amlo viva mexico,"['viva', 'amlo', 'viva', 'mexico']"
205,Ricardo Navarrete,#VIVA AMLO,viva amlo,"['viva', 'amlo']"
207,mikisaro,Lic cheque su poema,lic cheque su poema,"['lic', 'cheque', 'su', 'poema']"
208,jazmin,#EsSasil,essasil,['essasil']
209,laikasc2,pero porque quitaste el mural de niños para poner su propaganda si era cultura 😡😡😡😡😡,pero porque quitaste el mural de nios para poner su propaganda si era cultura ,"['pero', 'porque', 'quitaste', 'el', 'mural', 'de', 'nios', 'para', 'poner', 'su', 'propaganda', 'si', 'era', 'cultura']"
210,Minerva Vargaz,Soy Chiapaneca de Corazón ♥️,soy chiapaneca de corazn ,"['soy', 'chiapaneca', 'de', 'corazn']"
211,user1302498610863,soy orgullosa de ser chiapaneca,soy orgullosa de ser chiapaneca,"['soy', 'orgullosa', 'de', 'ser', 'chiapaneca']"
212,Fany De Leon,El mejor estado,el mejor estado,"['el', 'mejor', 'estado']"
213,lizhasy,Chiapas es bello en todo !! Soy chiapaneca de corazón ♥️,chiapas es bello en todo  soy chiapaneca de corazn ,"['chiapas', 'es', 'bello', 'en', 'todo', 'soy', 'chiapaneca', 'de', 'corazn']"
214,Nahiely Salinas Gonz,"El estado mas hermoso! rico en fiestas, tradiciones, cultura y sobre todo nuestro extensa gastronomía!!! 🫕",el estado mas hermoso rico en fiestas tradiciones cultura y sobre todo nuestro extensa gastronoma ,"['el', 'estado', 'mas', 'hermoso', 'rico', 'en', 'fiestas', 'tradiciones', 'cultura', 'y', 'sobre', 'todo', 'nuestro', 'extensa', 'gastronoma']"
215,Fany De Leon,🫶🏽🫶🏽🫶🏽🫶🏽,,[]
217,🙀🙀,hermosa,hermosa,['hermosa']
218,jessicabautista9411,"muy rico mole senadora , saludos desde San Cristóbal de las casas !!!",muy rico mole senadora  saludos desde san cristbal de las casas ,"['muy', 'rico', 'mole', 'senadora', 'saludos', 'desde', 'san', 'cristbal', 'de', 'las', 'casas']"
219,Iturbes,😁😁,,[]
220,🙀🙀,salud desde Chiapas,salud desde chiapas,"['salud', 'desde', 'chiapas']"
221,jessicabautista9411,saludos desde San Cristóbal de las casas Chiapas!!!!,saludos desde san cristbal de las casas chiapas,"['saludos', 'desde', 'san', 'cristbal', 'de', 'las', 'casas', 'chiapas']"
222,lec,Que hermosa🥰 !!! Ya estoy lista para ir por mis ingredientes y disfrutar de la deliciosa receta 😋,que hermosa  ya estoy lista para ir por mis ingredientes y disfrutar de la deliciosa receta ,"['que', 'hermosa', 'ya', 'estoy', 'lista', 'para', 'ir', 'por', 'mis', 'ingredientes', 'y', 'disfrutar', 'de', 'la', 'deliciosa', 'receta']"
223,Alejandro A. Madrid,🥰,,[]
224,mikisaro,lic sasil le tengo un poema espero pueda llegarle a sus manos solo digame a que correo se lo puedo hacer llegar,lic sasil le tengo un poema espero pueda llegarle a sus manos solo digame a que correo se lo puedo hacer llegar,"['lic', 'sasil', 'le', 'tengo', 'un', 'poema', 'espero', 'pueda', 'llegarle', 'a', 'sus', 'manos', 'solo', 'digame', 'a', 'que', 'correo', 'se', 'lo', 'puedo', 'hacer', 'llegar']"
225,yuli,"se mira deliciosos
saludos mi senadora desde Tuxtla Gutiérrez chiapas","se mira deliciosos
saludos mi senadora desde tuxtla gutirrez chiapas","['se', 'mira', 'deliciosos', 'saludos', 'mi', 'senadora', 'desde', 'tuxtla', 'gutirrez', 'chiapas']"
226,Sayuri Gómez,saludos desde Tapachula Chiapas!!,saludos desde tapachula chiapas,"['saludos', 'desde', 'tapachula', 'chiapas']"
227,user1828629274761,Saludos desde Mezcalapa Chiapas!!!,saludos desde mezcalapa chiapas,"['saludos', 'desde', 'mezcalapa', 'chiapas']"
228,user1828629274761,🥰,,[]
229,Nahiely Salinas Gonz,senadora! que gusto verla en esta plataforma!!! 🥰🥰🥰,senadora que gusto verla en esta plataforma ,"['senadora', 'que', 'gusto', 'verla', 'en', 'esta', 'plataforma']"
